"Data Set","Data Type","AGNES","Affinity Propagation","CLARA","DBSCAN","DIANA","DensityCut","HDBSCAN","Hierarchical Clustering","MCODE","Markov Clustering","Self Organizing Maps","Spectral Clustering","Transitivity Clustering","c-Means","clusterONE","clusterdp","fanny","k-Means","k-Medoids (PAM)"
"astral1_161","Protein Sequence Similarity","0.764","0.267","--","0.287","0.481","--","--","0.747","--","0.596","--","0.78","0.732","0.663","0.317","0.726","0.494","--","0.657"
"astral_40_seqsim_beh","Protein Sequence Similarity","0.714","0.544","--","0.261","0.531","--","--","0.714","0.463","0.649","--","0.457","0.714","0.524","0.634","0.664","0.48","--","0.576"
"astral_40_strsim","Protein Structure Similarity","0.851","0.837","--","0.179","0.495","--","--","0.849","0.755","0.645","--","0.224","0.84","0.677","0.023","0.852","0.71","--","0.872"
"bone_marrow","Gene Expression","0.896","0.948","0.834","0.933","0.858","0.894","0.713","0.933","--","0.783","0.831","0.716","0.933","0.921","0.847","0.923","0.921","0.921","0.9"
"bone_marrow_fixLabels","Gene Expression","0.948","1.0","0.885","0.537","0.896","0.918","0.748","1.0","0.537","0.537","0.754","0.973","0.986","0.791","0.537","0.974","0.973","0.973","0.948"
"brown","Protein Sequence Similarity","0.987","0.91","--","0.68","0.991","--","--","0.987","0.931","0.923","--","0.656","0.986","0.78","0.942","0.975","0.767","--","0.912"
"chang_pathbased","Synthetic","0.807","0.501","0.714","0.947","0.728","0.76","0.807","0.736","--","0.65","0.652","0.867","0.73","0.707","0.501","0.735","0.711","0.696","0.691"
"chang_spiral","Synthetic","1.0","0.5","0.5","1.0","0.5","1.0","0.947","1.0","0.484","0.5","0.408","0.93","0.5","0.441","0.5","1.0","0.5","0.463","0.418"
"coli_find","Word Sense Disambiguation","0.241","0.256","--","0.221","0.244","--","--","0.237","0.23","0.221","--","0.217","0.235","0.231","0.221","0.235","0.254","--","0.244"
"coli_need","Word Sense Disambiguation","0.55","0.55","--","0.55","0.55","--","--","0.547","--","0.55","--","0.493","0.55","0.536","0.55","0.547","0.551","--","0.546"
"coli_state","Word Sense Disambiguation","0.546","0.485","--","0.53","0.53","--","--","0.546","0.526","0.53","--","0.516","0.53","0.478","0.53","0.546","0.53","--","0.507"
"coli_time","Word Sense Disambiguation","0.404","0.349","--","0.403","0.404","--","--","0.404","0.382","0.403","--","0.403","0.403","0.398","0.403","0.404","0.404","--","0.387"
"fraenti_s3","Synthetic","0.822","0.547","0.845","0.63","0.767","0.861","0.611","0.79","0.347","0.125","0.375","0.85","0.835","0.847","0.125","0.855","0.84","0.844","0.844"
"fu_flame","Synthetic","0.972","0.689","0.841","0.987","0.857","1.0","0.972","0.972","0.598","0.689","0.845","0.889","0.866","0.857","0.689","1.0","0.869","0.841","0.853"
"gionis_aggregation","Synthetic","1.0","0.485","0.869","0.864","0.841","1.0","0.937","0.967","0.864","0.345","0.544","0.943","0.975","0.893","0.345","1.0","0.892","0.893","0.858"
"ppi_mips","Protein-Protein-Interaction","0.33","0.17","--","0.89","0.334","--","--","0.88","--","0.821","--","0.535","0.881","0.306","0.87","0.311","0.888","--","0.822"
"synthetic_cassini","Synthetic","1.0","0.524","0.768","1.0","0.772","1.0","0.917","1.0","0.992","0.524","0.778","1.0","0.885","0.957","0.524","1.0","0.957","0.78","0.95"
"synthetic_cuboid","Synthetic","1.0","0.657","1.0","1.0","0.857","1.0","1.0","1.0","0.888","0.415","0.651","0.709","0.961","1.0","0.415","1.0","1.0","1.0","1.0"
"synthetic_spirals","Synthetic","1.0","0.667","0.667","1.0","0.667","1.0","1.0","1.0","0.637","0.667","0.504","0.698","0.667","0.504","0.667","1.0","0.667","0.502","0.504"
"tcga","Gene Expression","0.998","0.389","--","0.944","0.911","--","--","0.998","--","0.678","--","0.5","0.986","0.963","0.678","0.921","0.914","--","0.9"
"twonorm_100d","Synthetic","0.89","--","0.667","0.667","0.95","0.667","0.667","0.89","0.667","0.667","0.666","0.965","0.667","0.97","0.788","0.666","0.899","0.965","0.66"
"twonorm_50d","Synthetic","0.915","--","0.859","0.667","0.97","0.737","0.667","0.897","0.717","0.667","0.98","0.97","0.827","0.977","0.925","0.825","0.975","0.975","0.859"
"veenman_r15","Synthetic","0.995","0.997","0.993","0.989","0.979","0.997","0.973","0.994","0.969","0.125","0.98","0.952","0.997","0.997","0.125","0.997","0.989","0.974","0.997"
"zachary","Social Network","1.0","0.715","--","0.668","0.718","--","--","1.0","--","1.0","--","0.69","1.0","1.0","0.848","0.971","1.0","--","0.941"
"zahn_compound","Synthetic","0.878","0.581","0.769","0.886","0.806","0.888","0.878","0.874","0.825","0.381","0.611","0.8","0.848","0.833","0.381","0.868","0.811","0.769","0.769"